tnt,effect_class,fuse_declared,method,baseline_avg_mspt,peak_avg_mspt,peak_p99_mspt,mean_avg_mspt,worst_wall_ms_per_tick,ticks_observed,wall_seconds,peak_entities,fell_behind
animal_kingdom,AnimalKingdomEffect,80,block+redstone,2.322,26.2,312.7,9.777,172.7,2997,149.85,321,1
poseidons_wave,PoseidonsWaveEffect,180,block+redstone,1.1,11.6,287.2,4.252,142.3,478,23.89,23,1
firestorm_tnt,FirestormTNTEffect,160,block+redstone,1.056,4.3,281.9,1.786,113.1,477,23.83,4,1
plantation_tnt,PlantationTNTEffect,160,block+redstone,3.189,3.7,266.9,1.658,113.5,476,23.8,4,1
wasteland_tnt,WastelandTNTEffect,180,block+redstone,1.011,3.8,226.0,1.774,99.6,326,16.32,4,0
geode_tnt,GeodeTNTEffect,80,block+redstone,1.367,3.4,225.9,1.973,102.7,226,11.29,4,1
floating_tnt,StackedPrimedTNTEffect,80,block+redstone,1.089,3.3,215.0,1.953,217.9,226,11.29,4,1
honey_tnt,HoneyTNTEffect,120,block+redstone,1.056,27.9,209.2,18.925,141.1,1799,89.97,661,1
reset_tnt,?,80,block+redstone,1.489,3.1,202.3,1.611,250.1,396,19.78,4,1
tnt_x100,TNTXStrengthEffect,200,block+redstone,1.178,2.9,186.7,1.426,109.5,519,25.91,4,1
hellfire_tnt,HellfireTNTEffect,160,block+redstone,1.056,3.9,185.9,1.824,96.5,306,15.31,7,0
asteroid_belt,AsteroidBeltEffect,160,block+redstone,1.0,2.7,174.5,1.321,85.1,309,15.46,33,0
hells_gate,HellsGateEffect,140,block+redstone,1.478,2.6,147.9,1.323,89.1,456,22.82,4,0
world_of_wools,WorldOfWoolsEffect,150,block+redstone,1.978,3.8,138.2,1.924,106.2,469,23.46,83,1
end_gate,EndGateEffect,140,block+redstone,1.222,5.3,126.7,2.39,76.5,288,14.41,83,0
mountaintop_removal,MountaintopRemovalEffect,180,block+redstone,0.967,2.2,120.9,1.272,85.9,329,16.44,4,0
snowstorm_tnt,SnowstormTNTEffect,160,block+redstone,0.9,2.7,120.8,1.596,78.0,309,15.47,114,0
chunk_tnt,ChunkTNTEffect,160,block+redstone,1.156,2.1,113.2,1.225,68.6,308,15.38,4,0
tnt_x20,TNTXStrengthEffect,160,block+redstone,1.7,2.1,108.0,1.355,85.8,308,15.4,4,0
grande_finale,GrandeFinaleEffect,440,block+redstone,1.067,40.7,104.5,15.198,142.5,2998,149.9,3742,1
compact_tnt,StackedPrimedTNTEffect,120,block+redstone,1.111,1.9,93.6,1.113,71.5,268,13.41,4,0
withering_tnt,WitheringTNTEffect,160,block+redstone,1.144,3.4,92.4,1.731,71.4,308,15.4,42,0
brickhouse_tnt,HouseTNTEffect,80,block+redstone,2.389,2.2,89.8,1.609,68.3,227,11.34,4,0
grove_tnt,GroveTNTEffect,80,block+redstone,1.456,2.1,87.5,1.566,51.9,229,11.49,4,0
catalyst_tnt,CatalystTNTEffect,340,block+redstone,1.033,8.8,86.8,2.89,72.0,657,32.85,4,0
nether_grove_tnt,NetherGroveTNTEffect,80,block+redstone,1.489,1.8,81.2,1.263,70.6,228,11.38,4,0
icy_tnt,IcyTNTEffect,180,block+redstone,0.933,7.0,80.1,4.072,63.7,327,16.39,840,0
